Otu000026,0,20,17,0,0,47,0,0,0,11,9,0,8,0,8,0,15,25,28,20,0,3,0,0,0,4,50,0,0,0,46,0,34,16,0,10,86,0,0,0,0,59,4,21,0,395,8,111,11,0,10,0,0,34,68,0,503,66,31,207,0,44,75,71,11
Otu000027,0,34,17,6,0,71,0,0,0,0,0,0,0,0,0,0,30,30,31,20,0,0,4,0,3,0,17,0,0,0,80,0,23,24,17,0,25,16,0,5,0,132,0,98,17,117,16,101,14,25,12,10,20,53,121,0,124,69,68,138,6,27,111,30,0
Otu000029,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000031,0,0,0,0,0,32,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000044,45,154,156,23,56,68,0,80,29,41,0,14,69,88,100,3757,27,10,0,0,30,13,205,0,0,2,0,6,0,21,0,0,0,44,44,128,17,17,0,14,16,15,0,28,20,0,16,79,0,7,29,5,18,0,535,3,0,0,91,0,337,10834,245,0,0
Otu000048,1153,4794,7308,1691,3200,3772,223,1239,254,2345,0,192,1654,1600,1563,0,269,763,823,10,89,17,59,184,144,10,474,521,221,30,784,110,625,1751,1382,831,690,806,1817,1098,0,65,239,450,1252,0,344,195,0,200,976,475,1036,391,298,952,286,678,98,0,446,0,1806,1070,742
Otu000049,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000050,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000058,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000068,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000069,0,0,0,0,0,21,0,0,25,0,0,0,0,0,44,1338,14,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,25,2061,0,0,0
Otu000072,33,116,63,28,37,25,0,40,40,73,0,0,25,31,97,2616,29,0,0,0,8,0,36,0,0,0,0,0,0,0,0,7,0,20,0,10,13,17,4,9,8,0,0,0,0,0,0,68,0,0,13,0,0,0,0,0,0,0,0,0,48,5086,0,0,0
Otu000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Otu000074,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
