Otu000045,0,0,16,65,0,63,0,0,0,0,0,0,42,42,74,91,12,0,0,0,0,0,1230,0,0,29,54,238,0,0,494,0,0,40,0,0,0,0,0,0,38,0
Otu000048,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
Otu000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000053,0,0,22,0,0,56,45,0,0,19,0,0,0,0,23,16,355,43,0,0,0,24908,340,0,0,111,126,0,0,0,92,0,0,0,0,19,5,0,14,33,47,0
Otu000055,0,0,0,0,11209,1921,0,5092,0,0,0,63,0,0,0,9,12,0,0,0,51,2222,15,9,0,143,0,0,0,0,55,0,0,0,0,17,57,0,25,0,0,25
Otu000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
Otu000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
Otu000066,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,113,0,0,0,0,0,0,0,0,0,0,0
Otu000068,0,0,0,264,0,0,0,0,0,5439,6,613,0,0,9,0,0,0,0,0,0,0,0,0,0,4546,23,0,0,0,3782,0,0,0,0,414,1915,0,142,11,0,0
Otu000071,0,0,0,0,0,36,0,0,0,0,91,0,20,31,55,29,18,200,0,28,0,0,0,21,0,0,87,38,0,0,0,0,0,48,0,0,0,0,0,30,0,0
Otu000072,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000073,98,0,49,44,0,104,149,0,0,84,441,0,499,240,533,548,138,2081,341,225,0,0,137,964,0,141,514,563,0,271,175,31,562,502,95,86,16,0,67,243,58,112
Otu000074,0,0,0,24,406,42,28,193,45,3,0,43,11,19,65,45,0,0,0,52,0,0,0,0,8,83,318,39,0,16,418,0,0,32,25,63,0,77,0,58,20,0
