Otu000126,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000127,36,90,46,104,66,13,195,49,134,0,1164,1001,1381,88,75,69,336,0,235,613,350,34,219,145,39,44,112,397,164,507
Otu000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000130,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,0,0,0,0,0
Otu000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Otu000135,0,20,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,12,0
Otu000139,0,0,104,0,0,0,0,0,0,0,95,0,86,140,0,0,0,0,17,50,334,0,274,0,0,0,0,35,0,17
Otu000140,0,29,558,34,0,13,54,0,0,0,286,162,280,234,16,9,49,0,139,198,0,0,0,0,0,0,0,168,0,118
Otu000141,0,0,0,20,0,0,0,0,0,0,23,0,0,30,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
Otu000143,0,0,448,0,0,0,0,13483,8211,0,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,657,1999,0,4504,0
Otu000144,0,0,5734,0,0,6,0,3311,9625,0,0,0,0,0,11831,0,0,0,0,0,0,0,0,0,0,3243,6878,0,20287,0
Otu000145,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000151,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,42,0,0,0,28,0,0,0,0,0,0,0,0,0,0
Otu000158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
